"Year","Period","labor force participation rate","employment-population ratio","labor force","employment","unemployment","unemployment rate","State","Date"
1983,"Oct",61,52.9,1770214,1536688,233526,13.2,"alabama",1983-10-01
1983,"Nov",61,53.1,1771000,1541917,229083,12.9,"alabama",1983-11-01
1983,"Dec",60.9,53.2,1770905,1545982,224923,12.7,"alabama",1983-12-01
1984,"Jan",60.9,53.3,1771137,1550278,220859,12.5,"alabama",1984-01-01
1984,"Feb",60.9,53.4,1771990,1555125,216865,12.2,"alabama",1984-02-01
1984,"Mar",60.9,53.6,1773616,1560316,213300,12,"alabama",1984-03-01
1984,"Apr",60.9,53.7,1775613,1565604,210009,11.8,"alabama",1984-04-01
1984,"May",60.9,53.8,1777545,1570522,207023,11.6,"alabama",1984-05-01
1984,"Jun",60.9,53.9,1778928,1574699,204229,11.5,"alabama",1984-06-01
1984,"Jul",60.9,54,1779337,1578030,201307,11.3,"alabama",1984-07-01
1984,"Aug",60.8,54.1,1779177,1580952,198225,11.1,"alabama",1984-08-01
1984,"Sep",60.8,54.1,1779173,1584212,194961,11,"alabama",1984-09-01
1984,"Oct",60.8,54.2,1779895,1588463,191432,10.8,"alabama",1984-10-01
1984,"Nov",60.8,54.4,1781810,1594104,187706,10.5,"alabama",1984-11-01
1984,"Dec",60.8,54.6,1784655,1600558,184097,10.3,"alabama",1984-12-01
1985,"Jan",60.9,54.7,1787426,1606303,181123,10.1,"alabama",1985-01-01
1985,"Feb",60.9,54.8,1789170,1610313,178857,10,"alabama",1985-02-01
1985,"Mar",60.9,54.9,1789320,1612530,176790,9.9,"alabama",1985-03-01
1985,"Apr",60.8,54.8,1788056,1613390,174666,9.8,"alabama",1985-04-01
1985,"May",60.7,54.8,1786366,1613844,172522,9.7,"alabama",1985-05-01
1985,"Jun",60.6,54.8,1785450,1614965,170485,9.5,"alabama",1985-06-01
1985,"Jul",60.6,54.9,1786085,1617206,168879,9.5,"alabama",1985-07-01
1985,"Aug",60.6,54.9,1788360,1620860,167500,9.4,"alabama",1985-08-01
1985,"Sep",60.7,55.1,1792099,1625716,166383,9.3,"alabama",1985-09-01
1985,"Oct",60.8,55.2,1796890,1630884,166006,9.2,"alabama",1985-10-01
1985,"Nov",60.9,55.3,1801966,1635384,166582,9.2,"alabama",1985-11-01
1985,"Dec",61.1,55.4,1806893,1638806,168087,9.3,"alabama",1985-12-01
1986,"Jan",61.2,55.4,1812113,1641754,170359,9.4,"alabama",1986-01-01
1986,"Feb",61.3,55.5,1818021,1645001,173020,9.5,"alabama",1986-02-01
1986,"Mar",61.5,55.6,1824281,1648807,175474,9.6,"alabama",1986-03-01
1986,"Apr",61.7,55.7,1830420,1653201,177219,9.7,"alabama",1986-04-01
1986,"May",61.8,55.8,1835675,1657762,177913,9.7,"alabama",1986-05-01
1986,"Jun",61.9,55.9,1839602,1661857,177745,9.7,"alabama",1986-06-01
1986,"Jul",61.9,56,1842030,1665074,176956,9.6,"alabama",1986-07-01
1986,"Aug",61.9,56,1842924,1667002,175922,9.5,"alabama",1986-08-01
1986,"Sep",61.8,56,1842685,1667663,175022,9.5,"alabama",1986-09-01
1986,"Oct",61.8,55.9,1842063,1667912,174151,9.5,"alabama",1986-10-01
1986,"Nov",61.7,55.9,1841583,1668535,173048,9.4,"alabama",1986-11-01
1986,"Dec",61.6,55.9,1841786,1670366,171420,9.3,"alabama",1986-12-01
1987,"Jan",61.6,55.9,1842485,1673531,168954,9.2,"alabama",1987-01-01
1987,"Feb",61.6,56,1843289,1677705,165584,9,"alabama",1987-02-01
1987,"Mar",61.5,56.1,1844323,1682630,161693,8.8,"alabama",1987-03-01
1987,"Apr",61.5,56.3,1845428,1687846,157582,8.5,"alabama",1987-04-01
1987,"May",61.5,56.4,1846414,1692864,153550,8.3,"alabama",1987-05-01
1987,"Jun",61.5,56.5,1847335,1697356,149979,8.1,"alabama",1987-06-01
1987,"Jul",61.5,56.6,1848327,1701123,147204,8,"alabama",1987-07-01
1987,"Aug",61.5,56.6,1849692,1704399,145293,7.9,"alabama",1987-08-01
1987,"Sep",61.5,56.7,1851507,1707653,143854,7.8,"alabama",1987-09-01
1987,"Oct",61.5,56.8,1853339,1710743,142596,7.7,"alabama",1987-10-01
1987,"Nov",61.6,56.9,1854731,1713481,141250,7.6,"alabama",1987-11-01
1987,"Dec",61.6,56.9,1855164,1715427,139737,7.5,"alabama",1987-12-01
1988,"Jan",61.5,56.9,1854390,1716333,138057,7.4,"alabama",1988-01-01
1988,"Feb",61.4,56.9,1852600,1716236,136364,7.4,"alabama",1988-02-01
1988,"Mar",61.3,56.8,1850192,1715289,134903,7.3,"alabama",1988-03-01
1988,"Apr",61.2,56.8,1848034,1714072,133962,7.2,"alabama",1988-04-01
1988,"May",61.1,56.7,1847106,1713577,133529,7.2,"alabama",1988-05-01
1988,"Jun",61.2,56.7,1847923,1714446,133477,7.2,"alabama",1988-06-01
1988,"Jul",61.2,56.8,1850380,1716667,133713,7.2,"alabama",1988-07-01
1988,"Aug",61.3,56.9,1854050,1719713,134337,7.2,"alabama",1988-08-01
1988,"Sep",61.4,57,1858309,1723080,135229,7.3,"alabama",1988-09-01
1988,"Oct",61.6,57.1,1862518,1726688,135830,7.3,"alabama",1988-10-01
1988,"Nov",61.7,57.2,1866229,1730329,135900,7.3,"alabama",1988-11-01
1988,"Dec",61.7,57.3,1869037,1733644,135393,7.2,"alabama",1988-12-01
1989,"Jan",61.8,57.4,1871103,1736565,134538,7.2,"alabama",1989-01-01
1989,"Feb",61.8,57.4,1872852,1739063,133789,7.1,"alabama",1989-02-01
1989,"Mar",61.9,57.5,1874687,1741409,133278,7.1,"alabama",1989-03-01
1989,"Apr",61.9,57.5,1876606,1743604,133002,7.1,"alabama",1989-04-01
1989,"May",62,57.6,1878472,1745559,132913,7.1,"alabama",1989-05-01
1989,"Jun",62,57.6,1880378,1747556,132822,7.1,"alabama",1989-06-01
1989,"Jul",62.1,57.7,1882581,1750145,132436,7,"alabama",1989-07-01
1989,"Aug",62.1,57.8,1885008,1753543,131465,7,"alabama",1989-08-01
1989,"Sep",62.2,57.9,1887382,1757341,130041,6.9,"alabama",1989-09-01
1989,"Oct",62.2,58,1889840,1761165,128675,6.8,"alabama",1989-10-01
1989,"Nov",62.3,58.1,1892519,1764849,127670,6.7,"alabama",1989-11-01
1989,"Dec",62.4,58.2,1895688,1768420,127268,6.7,"alabama",1989-12-01
1990,"Jan",62.5,58.3,1899077,1771724,127353,6.7,"alabama",1990-01-01
1990,"Feb",62.4,58.3,1901965,1774531,127434,6.7,"alabama",1990-02-01
1990,"Mar",62.4,58.2,1903910,1776525,127385,6.7,"alabama",1990-03-01
1990,"Apr",62.3,58.1,1904882,1777495,127387,6.7,"alabama",1990-04-01
1990,"May",62.1,58,1905369,1777663,127706,6.7,"alabama",1990-05-01
1990,"Jun",62,57.8,1905518,1777133,128385,6.7,"alabama",1990-06-01
1990,"Jul",61.9,57.7,1905684,1776220,129464,6.8,"alabama",1990-07-01
1990,"Aug",61.8,57.6,1906270,1775402,130868,6.9,"alabama",1990-08-01
1990,"Sep",61.8,57.5,1907321,1775022,132299,6.9,"alabama",1990-09-01
1990,"Oct",61.8,57.4,1908661,1775090,133571,7,"alabama",1990-10-01
1990,"Nov",61.7,57.4,1910234,1775754,134480,7,"alabama",1990-11-01
1990,"Dec",61.7,57.4,1911918,1776949,134969,7.1,"alabama",1990-12-01
1991,"Jan",61.7,57.4,1913853,1778320,135533,7.1,"alabama",1991-01-01
1991,"Feb",61.8,57.4,1916407,1779904,136503,7.1,"alabama",1991-02-01
1991,"Mar",61.8,57.4,1918937,1781238,137699,7.2,"alabama",1991-03-01
1991,"Apr",61.8,57.4,1920890,1782110,138780,7.2,"alabama",1991-04-01
1991,"May",61.8,57.3,1922086,1782559,139527,7.3,"alabama",1991-05-01
1991,"Jun",61.8,57.3,1922708,1782778,139930,7.3,"alabama",1991-06-01
1991,"Jul",61.7,57.2,1922955,1782831,140124,7.3,"alabama",1991-07-01
1991,"Aug",61.7,57.2,1923201,1782916,140285,7.3,"alabama",1991-08-01
1991,"Sep",61.6,57.1,1924089,1783398,140691,7.3,"alabama",1991-09-01
1991,"Oct",61.6,57.1,1925556,1784131,141425,7.3,"alabama",1991-10-01
1991,"Nov",61.6,57,1927441,1784993,142448,7.4,"alabama",1991-11-01
1991,"Dec",61.6,57,1929715,1786157,143558,7.4,"alabama",1991-12-01
1992,"Jan",61.7,57,1932553,1788027,144526,7.5,"alabama",1992-01-01
1992,"Feb",61.7,57.1,1936362,1790851,145511,7.5,"alabama",1992-02-01
1992,"Mar",61.8,57.2,1941914,1795292,146622,7.6,"alabama",1992-03-01
1992,"Apr",62,57.3,1949303,1801567,147736,7.6,"alabama",1992-04-01
1992,"May",62.2,57.5,1957242,1808694,148548,7.6,"alabama",1992-05-01
1992,"Jun",62.4,57.7,1964450,1815621,148829,7.6,"alabama",1992-06-01
1992,"Jul",62.5,57.8,1970241,1821634,148607,7.5,"alabama",1992-07-01
1992,"Aug",62.5,57.9,1974057,1825967,148090,7.5,"alabama",1992-08-01
1992,"Sep",62.5,57.9,1975964,1828321,147643,7.5,"alabama",1992-09-01
1992,"Oct",62.5,57.8,1977341,1829767,147574,7.5,"alabama",1992-10-01
1992,"Nov",62.5,57.8,1979046,1830980,148066,7.5,"alabama",1992-11-01
1992,"Dec",62.5,57.8,1981320,1832371,148949,7.5,"alabama",1992-12-01
1993,"Jan",62.5,57.8,1984393,1834668,149725,7.5,"alabama",1993-01-01
1993,"Feb",62.5,57.8,1987927,1837907,150020,7.5,"alabama",1993-02-01
1993,"Mar",62.6,57.9,1991524,1841761,149763,7.5,"alabama",1993-03-01
1993,"Apr",62.6,57.9,1994831,1845846,148985,7.5,"alabama",1993-04-01
1993,"May",62.6,58,1997560,1849651,147909,7.4,"alabama",1993-05-01
1993,"Jun",62.6,58,1999484,1852748,146736,7.3,"alabama",1993-06-01
1993,"Jul",62.6,58,2000176,1854879,145297,7.3,"alabama",1993-07-01
1993,"Aug",62.5,58,2000231,1856660,143571,7.2,"alabama",1993-08-01
1993,"Sep",62.4,58,2000500,1858875,141625,7.1,"alabama",1993-09-01
1993,"Oct",62.4,58,2001178,1861591,139587,7,"alabama",1993-10-01
1993,"Nov",62.4,58.1,2002622,1864928,137694,6.9,"alabama",1993-11-01
1993,"Dec",62.4,58.2,2005312,1869386,135926,6.8,"alabama",1993-12-01
1994,"Jan",62.5,58.3,2008752,1874720,134032,6.7,"alabama",1994-01-01
1994,"Feb",62.5,58.4,2012086,1880315,131771,6.5,"alabama",1994-02-01
1994,"Mar",62.6,58.6,2015010,1885710,129300,6.4,"alabama",1994-03-01
1994,"Apr",62.6,58.7,2017734,1890746,126988,6.3,"alabama",1994-04-01
1994,"May",62.7,58.8,2021160,1896094,125066,6.2,"alabama",1994-05-01
1994,"Jun",62.7,58.9,2026092,1902371,123721,6.1,"alabama",1994-06-01
1994,"Jul",62.9,59.1,2032656,1909685,122971,6,"alabama",1994-07-01
1994,"Aug",63.1,59.3,2040235,1917511,122724,6,"alabama",1994-08-01
1994,"Sep",63.3,59.5,2047897,1925161,122736,6,"alabama",1994-09-01
1994,"Oct",63.5,59.7,2054734,1932093,122641,6,"alabama",1994-10-01
1994,"Nov",63.6,59.8,2060247,1937879,122368,5.9,"alabama",1994-11-01
1994,"Dec",63.7,59.9,2064019,1941814,122205,5.9,"alabama",1994-12-01
1995,"Jan",63.7,59.9,2065941,1943534,122407,5.9,"alabama",1995-01-01
1995,"Feb",63.7,59.9,2066707,1943843,122864,5.9,"alabama",1995-02-01
1995,"Mar",63.7,59.9,2066757,1943443,123314,6,"alabama",1995-03-01
1995,"Apr",63.6,59.8,2066253,1942670,123583,6,"alabama",1995-04-01
1995,"May",63.6,59.8,2065568,1941993,123575,6,"alabama",1995-05-01
1995,"Jun",63.5,59.7,2065042,1941891,123151,6,"alabama",1995-06-01
1995,"Jul",63.5,59.7,2065002,1942594,122408,5.9,"alabama",1995-07-01
1995,"Aug",63.4,59.7,2065212,1943956,121256,5.9,"alabama",1995-08-01
1995,"Sep",63.4,59.7,2065335,1945737,119598,5.8,"alabama",1995-09-01
1995,"Oct",63.3,59.7,2065375,1947652,117723,5.7,"alabama",1995-10-01
1995,"Nov",63.2,59.7,2065258,1949557,115701,5.6,"alabama",1995-11-01
1995,"Dec",63.2,59.7,2064963,1951199,113764,5.5,"alabama",1995-12-01
1996,"Jan",63.1,59.7,2065081,1952886,112195,5.4,"alabama",1996-01-01
1996,"Feb",63.1,59.7,2066361,1955196,111165,5.4,"alabama",1996-02-01
1996,"Mar",63.2,59.8,2069354,1958835,110519,5.3,"alabama",1996-03-01
1996,"Apr",63.3,59.9,2074022,1964174,109848,5.3,"alabama",1996-04-01
1996,"May",63.4,60.1,2079901,1970981,108920,5.2,"alabama",1996-05-01
1996,"Jun",63.5,60.2,2086293,1978456,107837,5.2,"alabama",1996-06-01
1996,"Jul",63.7,60.4,2092692,1985879,106813,5.1,"alabama",1996-07-01
1996,"Aug",63.8,60.6,2098779,1992605,106174,5.1,"alabama",1996-08-01
1996,"Sep",63.9,60.7,2103978,1997772,106206,5,"alabama",1996-09-01
1996,"Oct",64,60.7,2107952,2001131,106821,5.1,"alabama",1996-10-01
1996,"Nov",64,60.7,2110916,2003165,107751,5.1,"alabama",1996-11-01
1996,"Dec",64.1,60.8,2113445,2004931,108514,5.1,"alabama",1996-12-01
1997,"Jan",64.1,60.8,2115844,2006990,108854,5.1,"alabama",1997-01-01
1997,"Feb",64.1,60.9,2118001,2009280,108721,5.1,"alabama",1997-02-01
1997,"Mar",64.2,60.9,2120072,2011861,108211,5.1,"alabama",1997-03-01
1997,"Apr",64.2,61,2122578,2014864,107714,5.1,"alabama",1997-04-01
1997,"May",64.3,61,2125252,2017899,107353,5.1,"alabama",1997-05-01
1997,"Jun",64.3,61.1,2127774,2020834,106940,5,"alabama",1997-06-01
1997,"Jul",64.4,61.1,2130325,2024056,106269,5,"alabama",1997-07-01
1997,"Aug",64.4,61.2,2132890,2027573,105317,4.9,"alabama",1997-08-01
1997,"Sep",64.4,61.2,2135335,2031402,103933,4.9,"alabama",1997-09-01
1997,"Oct",64.4,61.3,2137434,2035243,102191,4.8,"alabama",1997-10-01
1997,"Nov",64.3,61.3,2138826,2038635,100191,4.7,"alabama",1997-11-01
1997,"Dec",64.3,61.4,2139548,2041465,98083,4.6,"alabama",1997-12-01
1998,"Jan",64.3,61.4,2139866,2043703,96163,4.5,"alabama",1998-01-01
1998,"Feb",64.2,61.4,2139942,2045158,94784,4.4,"alabama",1998-02-01
1998,"Mar",64.2,61.3,2139571,2045515,94056,4.4,"alabama",1998-03-01
1998,"Apr",64.1,61.3,2138861,2045067,93794,4.4,"alabama",1998-04-01
1998,"May",64,61.2,2138323,2044313,94010,4.4,"alabama",1998-05-01
1998,"Jun",64,61.1,2138165,2043447,94718,4.4,"alabama",1998-06-01
1998,"Jul",63.9,61,2138123,2042432,95691,4.5,"alabama",1998-07-01
1998,"Aug",63.9,61,2138416,2041957,96459,4.5,"alabama",1998-08-01
1998,"Sep",63.9,61,2139340,2042400,96940,4.5,"alabama",1998-09-01
1998,"Oct",63.9,61,2140744,2043672,97072,4.5,"alabama",1998-10-01
1998,"Nov",63.9,61,2142287,2045192,97095,4.5,"alabama",1998-11-01
1998,"Dec",63.9,61,2143671,2046252,97419,4.5,"alabama",1998-12-01
1999,"Jan",63.9,61,2144836,2046795,98041,4.6,"alabama",1999-01-01
1999,"Feb",63.9,61,2146073,2047125,98948,4.6,"alabama",1999-02-01
1999,"Mar",64,61,2147493,2047415,100078,4.7,"alabama",1999-03-01
1999,"Apr",64,61,2148794,2047500,101294,4.7,"alabama",1999-04-01
1999,"May",64,60.9,2149624,2047355,102269,4.8,"alabama",1999-05-01
1999,"Jun",64,60.9,2150108,2047333,102775,4.8,"alabama",1999-06-01
1999,"Jul",63.9,60.9,2150333,2047460,102873,4.8,"alabama",1999-07-01
1999,"Aug",63.9,60.8,2150336,2047603,102733,4.8,"alabama",1999-08-01
1999,"Sep",63.9,60.8,2150523,2048020,102503,4.8,"alabama",1999-09-01
1999,"Oct",63.9,60.8,2151230,2048881,102349,4.8,"alabama",1999-10-01
1999,"Nov",63.9,60.8,2152606,2050404,102202,4.7,"alabama",1999-11-01
1999,"Dec",63.9,60.9,2154295,2052351,101944,4.7,"alabama",1999-12-01
2000,"Jan",63.9,60.9,2155579,2053949,101630,4.7,"alabama",2000-01-01
2000,"Feb",63.9,60.9,2155967,2054784,101183,4.7,"alabama",2000-02-01
2000,"Mar",63.9,60.9,2155600,2054874,100726,4.7,"alabama",2000-03-01
2000,"Apr",63.9,60.9,2154655,2054308,100347,4.7,"alabama",2000-04-01
2000,"May",63.8,60.8,2153190,2053152,100038,4.6,"alabama",2000-05-01
2000,"Jun",63.7,60.7,2151115,2051276,99839,4.6,"alabama",2000-06-01
2000,"Jul",63.5,60.6,2148425,2048806,99619,4.6,"alabama",2000-07-01
2000,"Aug",63.4,60.5,2145806,2046438,99368,4.6,"alabama",2000-08-01
2000,"Sep",63.3,60.4,2143683,2044605,99078,4.6,"alabama",2000-09-01
2000,"Oct",63.3,60.3,2142500,2043660,98840,4.6,"alabama",2000-10-01
2000,"Nov",63.2,60.3,2142591,2043564,99027,4.6,"alabama",2000-11-01
2000,"Dec",63.2,60.3,2143689,2043946,99743,4.7,"alabama",2000-12-01
2001,"Jan",63.3,60.3,2144872,2044069,100803,4.7,"alabama",2001-01-01
2001,"Feb",63.2,60.2,2144889,2042970,101919,4.8,"alabama",2001-02-01
2001,"Mar",63.2,60.1,2142885,2040093,102792,4.8,"alabama",2001-03-01
2001,"Apr",63,60,2138923,2035440,103483,4.8,"alabama",2001-04-01
2001,"May",62.8,59.8,2134159,2029836,104323,4.9,"alabama",2001-05-01
2001,"Jun",62.7,59.6,2129709,2024023,105686,5,"alabama",2001-06-01
2001,"Jul",62.6,59.4,2126772,2018860,107912,5.1,"alabama",2001-07-01
2001,"Aug",62.5,59.2,2125065,2014114,110951,5.2,"alabama",2001-08-01
2001,"Sep",62.4,59.1,2123962,2009528,114434,5.4,"alabama",2001-09-01
2001,"Oct",62.4,58.9,2123018,2005153,117865,5.6,"alabama",2001-10-01
2001,"Nov",62.3,58.8,2121432,2000776,120656,5.7,"alabama",2001-11-01
2001,"Dec",62.2,58.6,2119175,1996652,122523,5.8,"alabama",2001-12-01
2002,"Jan",62.1,58.5,2116913,1993409,123504,5.8,"alabama",2002-01-01
2002,"Feb",62.1,58.4,2115198,1991308,123890,5.9,"alabama",2002-02-01
2002,"Mar",62,58.4,2114234,1990149,124085,5.9,"alabama",2002-03-01
2002,"Apr",62,58.4,2114463,1990156,124307,5.9,"alabama",2002-04-01
2002,"May",62,58.4,2116084,1991475,124609,5.9,"alabama",2002-05-01
2002,"Jun",62.1,58.4,2118870,1994039,124831,5.9,"alabama",2002-06-01
2002,"Jul",62.1,58.5,2121992,1997041,124951,5.9,"alabama",2002-07-01
2002,"Aug",62.2,58.5,2124816,1999759,125057,5.9,"alabama",2002-08-01
2002,"Sep",62.2,58.5,2127281,2002048,125233,5.9,"alabama",2002-09-01
2002,"Oct",62.2,58.5,2129029,2003677,125352,5.9,"alabama",2002-10-01
2002,"Nov",62.2,58.5,2130275,2004992,125283,5.9,"alabama",2002-11-01
2002,"Dec",62.2,58.5,2131074,2006022,125052,5.9,"alabama",2002-12-01
2003,"Jan",62.2,58.5,2131904,2006892,125012,5.9,"alabama",2003-01-01
2003,"Feb",62.2,58.6,2133302,2007990,125312,5.9,"alabama",2003-02-01
2003,"Mar",62.2,58.6,2135178,2009302,125876,5.9,"alabama",2003-03-01
2003,"Apr",62.3,58.6,2136792,2010144,126648,5.9,"alabama",2003-04-01
